,Has seen a Star Wars film,Star Wars Fan,Watched The Phantom Menace,Watched Attack of the Clones,Watched Revenge of the Sith,Watched A New Hope,Watched The Empire Strikes Back,Watched Return of the Jedi,Rank for The Phantom Menace,Rank for Attack of the Clones,Rank for Revenge of the Sith,Rank for A New Hope,Rank for The Empire Strikes Back,Rank for Return of the Jedi,View of Han Solo,View of Luke Skywalker,View of Princess Leia Organa,View of Anakin Skywalker,View of Obi Wan Kenobi,View of Emperor Palpatine,View of Darth Vader,View of Lando Calrissian,View of Boba Fett,View of C-3P0,View of R2 D2,View of Jar Jar Binks,View of Padme Amidala,View of Yoda,Which character shot first?,Familiar with the Expanded Universe?,Fan of the Expanded Universe?,Star Trek Fan,Gender,Age,Household Income,Education,Location (Census Region)
31,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6.0,5.0,4.0,2.0,1.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,Yes,Yes,Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
32,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6.0,1.0,2.0,3.0,4.0,5.0,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Han,No,,No,Male,18-29,,,Middle Atlantic
33,Yes,No,,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,,,6.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,Han,No,,No,Male,18-29,"$50,000 - $99,999",High school degree,Mountain
34,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,East South Central
35,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6.0,3.0,4.0,1.0,2.0,5.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,No,,No,Male,30-44,"$150,000+",Graduate degree,East North Central
36,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3.0,2.0,1.0,4.0,6.0,5.0,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,No,,No,Male,18-29,"$0 - $24,999",Bachelor degree,West North Central
37,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,2.0,4.0,5.0,1.0,6.0,3.0,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Han,No,,No,Male,18-29,,Some college or Associate degree,Pacific
38,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6.0,3.0,5.0,1.0,4.0,2.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Han,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
39,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4.0,5.0,6.0,3.0,2.0,1.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Greedo,Yes,Yes,Yes,Male,30-44,"$0 - $24,999",High school degree,West North Central
40,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5.0,6.0,2.0,3.0,4.0,1.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
